index,unit1_pwr_60ghz_1,unit1_pwr_60ghz_2,unit1_pwr_60ghz_3,unit1_pwr_60ghz_4,unit1_pwr_60ghz_5,unit1_pwr_60ghz_6,unit1_pwr_60ghz_7,unit1_pwr_60ghz_8
1,./unit1/mmWave_data/mmWave_power_5305.txt,./unit1/mmWave_data/mmWave_power_5306.txt,./unit1/mmWave_data/mmWave_power_5307.txt,./unit1/mmWave_data/mmWave_power_5308.txt,./unit1/mmWave_data/mmWave_power_5309.txt,./unit1/mmWave_data/mmWave_power_5310.txt,./unit1/mmWave_data/mmWave_power_5311.txt,./unit1/mmWave_data/mmWave_power_5312.txt
2,./unit1/mmWave_data/mmWave_power_1382.txt,./unit1/mmWave_data/mmWave_power_1383.txt,./unit1/mmWave_data/mmWave_power_1384.txt,./unit1/mmWave_data/mmWave_power_1385.txt,./unit1/mmWave_data/mmWave_power_1386.txt,./unit1/mmWave_data/mmWave_power_1387.txt,./unit1/mmWave_data/mmWave_power_1388.txt,./unit1/mmWave_data/mmWave_power_1389.txt
3,./unit1/mmWave_data/mmWave_power_5308.txt,./unit1/mmWave_data/mmWave_power_5309.txt,./unit1/mmWave_data/mmWave_power_5310.txt,./unit1/mmWave_data/mmWave_power_5311.txt,./unit1/mmWave_data/mmWave_power_5312.txt,./unit1/mmWave_data/mmWave_power_5313.txt,./unit1/mmWave_data/mmWave_power_5314.txt,./unit1/mmWave_data/mmWave_power_5315.txt
4,./unit1/mmWave_data/mmWave_power_1580.txt,./unit1/mmWave_data/mmWave_power_1581.txt,./unit1/mmWave_data/mmWave_power_1582.txt,./unit1/mmWave_data/mmWave_power_1583.txt,./unit1/mmWave_data/mmWave_power_1584.txt,./unit1/mmWave_data/mmWave_power_1585.txt,./unit1/mmWave_data/mmWave_power_1586.txt,./unit1/mmWave_data/mmWave_power_1587.txt
5,./unit1/mmWave_data/mmWave_power_1569.txt,./unit1/mmWave_data/mmWave_power_1570.txt,./unit1/mmWave_data/mmWave_power_1571.txt,./unit1/mmWave_data/mmWave_power_1572.txt,./unit1/mmWave_data/mmWave_power_1573.txt,./unit1/mmWave_data/mmWave_power_1574.txt,./unit1/mmWave_data/mmWave_power_1575.txt,./unit1/mmWave_data/mmWave_power_1576.txt
6,./unit1/mmWave_data/mmWave_power_1570.txt,./unit1/mmWave_data/mmWave_power_1571.txt,./unit1/mmWave_data/mmWave_power_1572.txt,./unit1/mmWave_data/mmWave_power_1573.txt,./unit1/mmWave_data/mmWave_power_1574.txt,./unit1/mmWave_data/mmWave_power_1575.txt,./unit1/mmWave_data/mmWave_power_1576.txt,./unit1/mmWave_data/mmWave_power_1577.txt
7,./unit1/mmWave_data/mmWave_power_9450.txt,./unit1/mmWave_data/mmWave_power_9451.txt,./unit1/mmWave_data/mmWave_power_9452.txt,./unit1/mmWave_data/mmWave_power_9453.txt,./unit1/mmWave_data/mmWave_power_9454.txt,./unit1/mmWave_data/mmWave_power_9455.txt,./unit1/mmWave_data/mmWave_power_9456.txt,./unit1/mmWave_data/mmWave_power_9457.txt
8,./unit1/mmWave_data/mmWave_power_2996.txt,./unit1/mmWave_data/mmWave_power_2997.txt,./unit1/mmWave_data/mmWave_power_2998.txt,./unit1/mmWave_data/mmWave_power_2999.txt,./unit1/mmWave_data/mmWave_power_3000.txt,./unit1/mmWave_data/mmWave_power_3001.txt,./unit1/mmWave_data/mmWave_power_3002.txt,./unit1/mmWave_data/mmWave_power_3003.txt
9,./unit1/mmWave_data/mmWave_power_8984.txt,./unit1/mmWave_data/mmWave_power_8985.txt,./unit1/mmWave_data/mmWave_power_8986.txt,./unit1/mmWave_data/mmWave_power_8987.txt,./unit1/mmWave_data/mmWave_power_8988.txt,./unit1/mmWave_data/mmWave_power_8989.txt,./unit1/mmWave_data/mmWave_power_8990.txt,./unit1/mmWave_data/mmWave_power_8991.txt
10,./unit1/mmWave_data/mmWave_power_750.txt,./unit1/mmWave_data/mmWave_power_751.txt,./unit1/mmWave_data/mmWave_power_752.txt,./unit1/mmWave_data/mmWave_power_753.txt,./unit1/mmWave_data/mmWave_power_754.txt,./unit1/mmWave_data/mmWave_power_755.txt,./unit1/mmWave_data/mmWave_power_756.txt,./unit1/mmWave_data/mmWave_power_757.txt
